round,arena,pirate1,pirate2,pirate3,pirate4,fa1,fa2,fa3,fa4,pfa1,pfa2,pfa3,pfa4,nfa1,nfa2,nfa3,nfa4,opening_odds1,opening_odds2,opening_odds3,opening_odds4,closing_odds1,closing_odds2,closing_odds3,closing_odds4,winner
8403,4,10,14,12,3,1,3,0,5,1,3,1,5,0,0,-1,0,12,3,4,2,13,2,4,2,3
8404,0,14,3,19,8,3,1,-1,2,4,3,1,4,-1,-2,-2,-2,5,13,2,5,7,13,2,7,1
8404,1,6,12,20,15,-2,4,0,3,0,5,0,4,-2,-1,0,-1,13,12,12,2,13,13,13,2,4
8404,2,10,1,7,2,-2,2,3,1,0,3,4,2,-2,-1,-1,-1,13,2,2,4,13,2,2,3,3
8404,3,16,18,9,17,3,0,1,1,4,2,1,3,-1,-2,0,-2,2,10,13,2,2,10,13,2,1
8404,4,11,4,13,5,-1,4,3,-1,1,4,3,0,-2,0,0,-1,13,2,2,7,13,2,2,6,3
8405,0,13,17,16,15,-1,1,2,1,2,3,3,2,-3,-2,-1,-1,13,13,5,2,13,13,7,2,4
8405,1,14,9,4,12,1,1,0,2,2,2,2,3,-1,-1,-2,-1,6,12,3,2,6,12,3,2,1
8405,2,1,18,8,6,3,0,-1,1,4,3,2,2,-1,-3,-3,-1,2,13,11,4,2,13,13,5,4
8405,3,7,10,5,3,2,0,-1,2,2,1,0,3,0,-1,-1,-1,2,12,2,4,2,12,2,4,3
8405,4,20,2,11,19,-1,2,2,1,1,4,3,2,-2,-2,-1,-1,10,10,13,2,13,13,13,2,4
8406,0,7,17,1,6,3,2,0,-2,3,4,1,0,0,-2,-1,-2,5,4,2,13,7,5,2,13,1
8406,1,5,4,2,3,-1,0,2,2,1,0,2,3,-2,0,0,-1,12,2,2,5,13,2,2,5,4
8406,2,16,18,11,13,4,0,-2,4,6,1,0,5,-2,-1,-2,-1,3,9,13,2,4,10,13,2,4
8406,3,20,10,14,19,1,0,1,1,1,1,2,2,0,-1,-1,-1,4,13,13,2,6,13,13,2,4
8406,4,8,9,15,12,3,1,0,0,4,2,1,2,-1,-1,-1,-2,11,13,2,7,13,13,2,8,3
8407,0,9,11,19,6,0,2,0,-1,1,3,1,1,-1,-1,-1,-2,13,13,2,5,13,13,2,7,3
8407,1,8,4,17,1,1,-1,5,3,3,2,5,4,-2,-3,0,-1,13,13,2,2,13,13,2,2,4
8407,2,18,5,15,14,1,1,2,1,2,1,3,2,-1,0,-1,-1,13,10,2,12,13,13,2,13,3
8407,3,12,10,20,3,0,-2,-1,-1,1,1,1,2,-1,-3,-2,-3,3,13,2,8,3,13,2,8,3
8407,4,2,16,7,13,1,4,-1,-1,2,5,2,2,-1,-1,-3,-3,11,2,5,5,13,2,7,7,3
8408,0,15,14,3,8,1,1,5,2,2,3,5,4,-1,-2,0,-2,2,13,7,8,2,13,9,10,3
